Rank,Compound,Vina,Ki(25°C),IC50(25°C),Ki(37°C),IC50(37°C)
1,CTX-1020521,-12.979,306 pM,611 pM,714 pM,1.4 nM
2,CTX-1020520,-12.948,322 pM,644 pM,750 pM,1.5 nM
3,CTX-1020810,-12.844,384 pM,768 pM,888 pM,1.8 nM
4,CTX-1019660,-12.819,401 pM,801 pM,925 pM,1.9 nM
5,CTX-1020458,-12.797,416 pM,831 pM,959 pM,1.9 nM
6,CTX-1019813,-12.768,437 pM,873 pM,1.0 nM,2.0 nM
7,CTX-1020882,-12.706,485 pM,969 pM,1.1 nM,2.2 nM
8,CTX-1020555,-12.698,491 pM,983 pM,1.1 nM,2.3 nM
9,CTX-1020816,-12.594,586 pM,1.2 nM,1.3 nM,2.7 nM
10,CTX-1020751,-12.551,630 pM,1.3 nM,1.4 nM,2.9 nM
11,CTX-1020745,-12.470,722 pM,1.4 nM,1.6 nM,3.3 nM
12,CTX-1020698,-12.452,744 pM,1.5 nM,1.7 nM,3.4 nM
13,CTX-1017233,-12.449,748 pM,1.5 nM,1.7 nM,3.4 nM
14,CTX-1020696,-12.440,759 pM,1.5 nM,1.7 nM,3.4 nM
15,CTX-1019904,-12.426,778 pM,1.6 nM,1.8 nM,3.5 nM
16,CTX-1020685,-12.405,806 pM,1.6 nM,1.8 nM,3.6 nM
17,CTX-1020459,-12.374,849 pM,1.7 nM,1.9 nM,3.8 nM
18,CTX-1020838,-12.366,860 pM,1.7 nM,1.9 nM,3.9 nM
19,CTX-1020811,-12.364,863 pM,1.7 nM,1.9 nM,3.9 nM
20,CTX-1019613,-12.354,878 pM,1.8 nM,2.0 nM,3.9 nM
21,CTX-1020755,-12.334,908 pM,1.8 nM,2.0 nM,4.1 nM
22,CTX-1020523,-12.305,954 pM,1.9 nM,2.1 nM,4.3 nM
23,CTX-1020695,-12.246,1.1 nM,2.1 nM,2.3 nM,4.7 nM
24,CTX-1020759,-12.169,1.2 nM,2.4 nM,2.7 nM,5.3 nM
25,CTX-1020799,-12.168,1.2 nM,2.4 nM,2.7 nM,5.3 nM
26,CTX-1020747,-12.078,1.4 nM,2.8 nM,3.1 nM,6.2 nM
27,CTX-1020752,-12.076,1.4 nM,2.8 nM,3.1 nM,6.2 nM
28,CTX-1020817,-12.010,1.6 nM,3.1 nM,3.4 nM,6.9 nM
29,CTX-1020740,-12.005,1.6 nM,3.2 nM,3.5 nM,6.9 nM
30,CTX-1020734,-11.995,1.6 nM,3.2 nM,3.5 nM,7.0 nM
31,CTX-1019758,-11.956,1.7 nM,3.4 nM,3.8 nM,7.5 nM
32,CTX-1020441,-11.915,1.8 nM,3.7 nM,4.0 nM,8.0 nM
33,CTX-1020749,-11.913,1.8 nM,3.7 nM,4.0 nM,8.0 nM
34,CTX-1020743,-11.907,1.9 nM,3.7 nM,4.1 nM,8.1 nM
35,CTX-1020669,-11.898,1.9 nM,3.8 nM,4.1 nM,8.2 nM
36,CTX-1020842,-11.877,2.0 nM,3.9 nM,4.3 nM,8.5 nM
37,CTX-1020440,-11.847,2.1 nM,4.1 nM,4.5 nM,9.0 nM
38,CTX-1020565,-11.846,2.1 nM,4.1 nM,4.5 nM,9.0 nM
39,CTX-1020795,-11.772,2.3 nM,4.7 nM,5.1 nM,10.1 nM
40,CTX-1020753,-11.772,2.3 nM,4.7 nM,5.1 nM,10.1 nM
41,CTX-1020453,-11.772,2.3 nM,4.7 nM,5.1 nM,10.1 nM
42,CTX-1020699,-11.759,2.4 nM,4.8 nM,5.2 nM,10.3 nM
43,CTX-1020903,-11.742,2.5 nM,4.9 nM,5.3 nM,10.6 nM
44,CTX-1019480,-11.723,2.5 nM,5.1 nM,5.5 nM,11.0 nM
45,CTX-1020562,-11.632,3.0 nM,5.9 nM,6.3 nM,12.7 nM
46,CTX-1019757,-11.620,3.0 nM,6.1 nM,6.5 nM,12.9 nM
47,CTX-1020566,-11.610,3.1 nM,6.2 nM,6.6 nM,13.2 nM
48,CTX-1020912,-11.597,3.2 nM,6.3 nM,6.7 nM,13.4 nM
49,CTX-1020697,-11.575,3.3 nM,6.5 nM,7.0 nM,13.9 nM
50,CTX-1020845,-11.550,3.4 nM,6.8 nM,7.3 nM,14.5 nM
51,CTX-1020902,-11.516,3.6 nM,7.2 nM,7.7 nM,15.3 nM
52,CTX-1020726,-11.501,3.7 nM,7.4 nM,7.9 nM,15.7 nM
53,CTX-1020800,-11.495,3.7 nM,7.5 nM,7.9 nM,15.9 nM
54,CTX-1019473,-11.477,3.9 nM,7.7 nM,8.2 nM,16.3 nM
55,CTX-1020517,-11.472,3.9 nM,7.8 nM,8.2 nM,16.5 nM
56,CTX-1020456,-11.451,4.0 nM,8.1 nM,8.5 nM,17.0 nM
57,CTX-1020746,-11.433,4.2 nM,8.3 nM,8.8 nM,17.5 nM
58,CTX-1020748,-11.368,4.6 nM,9.3 nM,9.7 nM,19.5 nM
59,CTX-1020518,-11.294,5.3 nM,10.5 nM,11.0 nM,22.0 nM
60,CTX-1020582,-11.237,5.8 nM,11.6 nM,12.1 nM,24.1 nM
61,CTX-1020516,-11.223,5.9 nM,11.8 nM,12.3 nM,24.7 nM
62,CTX-1020742,-11.139,6.8 nM,13.7 nM,14.1 nM,28.3 nM
63,CTX-1019471,-11.126,7.0 nM,14.0 nM,14.4 nM,28.9 nM
64,CTX-1020750,-11.112,7.1 nM,14.3 nM,14.8 nM,29.5 nM
65,CTX-1020454,-11.069,7.7 nM,15.4 nM,15.8 nM,31.7 nM
66,CTX-1020733,-11.061,7.8 nM,15.6 nM,16.0 nM,32.1 nM
67,CTX-1019630,-11.037,8.1 nM,16.2 nM,16.7 nM,33.3 nM
68,CTX-1020671,-10.953,9.3 nM,18.7 nM,19.1 nM,38.2 nM
69,CTX-1020754,-10.926,9.8 nM,19.6 nM,20.0 nM,39.9 nM
70,CTX-1020670,-10.911,10.0 nM,20.1 nM,20.5 nM,40.9 nM
71,CTX-1020769,-10.741,13.4 nM,26.7 nM,27.0 nM,53.9 nM
72,CTX-1020741,-10.705,14.2 nM,28.4 nM,28.6 nM,57.2 nM
73,CTX-1020667,-10.601,16.9 nM,33.9 nM,33.8 nM,67.7 nM
74,CTX-1020732,-10.547,18.5 nM,37.1 nM,36.9 nM,73.9 nM
75,CTX-1019496,-10.410,23.4 nM,46.7 nM,46.1 nM,92.2 nM
76,CTX-1020772,-10.360,25.4 nM,50.9 nM,50.0 nM,100.0 nM
77,CTX-1020770,-10.253,30.5 nM,60.9 nM,59.5 nM,119.0 nM
78,CTX-1020744,-10.249,30.7 nM,61.3 nM,59.9 nM,119.8 nM
79,CTX-1020771,-10.246,30.8 nM,61.6 nM,60.2 nM,120.4 nM
80,CTX-1020766,-10.181,34.4 nM,68.8 nM,66.9 nM,133.8 nM
81,CTX-1020767,-10.180,34.5 nM,68.9 nM,67.0 nM,134.0 nM
82,CTX-1020735,-10.057,42.4 nM,84.8 nM,81.8 nM,163.6 nM
83,CTX-1020818,-9.838,61.4 nM,122.7 nM,116.7 nM,233.4 nM
84,CTX-1020739,-9.609,90.3 nM,180.7 nM,169.2 nM,338.4 nM
--,CTX crystal (score_only),-14.090,47 pM,94 pM,118 pM,235 pM
--,CTX-1017233 exh=32 (prior),-12.614,566 pM,1.1 nM,1.3 nM,2.6 nM
