Receptor topology: 2632 KB

Processing 22 compounds...
  Compound_10_ent1... ΔG=-33.0 kcal/mol
  Compound_10_ent2... ΔG=-36.0 kcal/mol
  Compound_11_ent1... ΔG=9.3 kcal/mol
  Compound_11_ent2... ΔG=-30.3 kcal/mol
  Compound_12_ent1... ΔG=-29.2 kcal/mol
  Compound_12_ent2... ΔG=-24.3 kcal/mol
  Compound_1_ent1... ΔG=-14.9 kcal/mol
  Compound_1_ent2... ΔG=-21.4 kcal/mol
  Compound_4_s1... ΔG=-33.1 kcal/mol
  Compound_4_s12... ΔG=-37.6 kcal/mol
  Compound_4_s13... ΔG=-24.4 kcal/mol
  Compound_4_s16... ΔG=-36.1 kcal/mol
  Compound_4_s4... ΔG=-26.0 kcal/mol
  Compound_4_s5... ΔG=-30.7 kcal/mol
  Compound_4_s8... ΔG=-35.6 kcal/mol
  Compound_4_s9... ΔG=-33.0 kcal/mol
  Compound_7_ent1... 
