Molecule,Rank,Affinity,CNNscore,CNNaff,pIC50
EL2003A-A2U1,1,-9.3551,0.9744,7.8899,7.6
EL2003A-A2U1,2,-9.7599,0.9423,7.7118,7.6
EL2003A-A2U1,3,-8.3525,0.8996,7.3751,7.6
EL2003A-A2U1,4,-8.3026,0.7282,7.2732,7.6
EL2003A-A2U1,5,-9.3329,0.4966,7.0253,7.6
EL2003A,1,-9.7353,0.9759,7.7116,7.9
EL2003A,2,-9.8001,0.9703,7.6332,7.9
EL2003A,3,-8.0657,0.9404,7.4355,7.9
EL2003A,4,-7.8587,0.8123,7.1894,7.9
EL2003A,5,-9.3621,0.6381,7.2967,7.9
EL2003A-A4U1,1,-9.3146,0.9549,8.0316,7.3
EL2003A-A4U1,2,-9.8019,0.9429,7.7598,7.3
EL2003A-A4U1,3,-8.9416,0.9353,7.7144,7.3
EL2003A-A4U1,4,-8.6768,0.4980,7.1445,7.3
EL2003A-A4U1,5,-9.2029,0.4921,7.1839,7.3
BX912,1,-8.5627,0.9673,7.6688,7.327902
BX912,2,-8.9076,0.9054,7.5617,7.327902
BX912,3,-7.7329,0.8352,7.7852,7.327902
BX912,4,-7.6424,0.6398,7.1800,7.327902
BX912,5,-8.5778,0.5918,7.1861,7.327902
EL5001A,1,-7.7303,0.9245,7.5344,4
EL5001A,2,-7.6172,0.9039,7.0420,4
EL5001A,3,-6.9999,0.8963,7.2765,4
EL5001A,4,-7.6342,0.7356,7.0853,4
EL5001A,5,-7.4582,0.7332,6.9116,4
EL5003A,1,-7.8053,0.9197,7.7364,4
EL5003A,2,-7.5918,0.8556,7.3521,4
EL5003A,3,-8.1076,0.4980,7.4018,4
EL5003A,4,-7.7141,0.3582,6.7255,4
EL5003A,5,-8.1196,0.3417,7.2250,4
