Molecule,R pIC50,Affin,CNN,CNNaff,VdW,Elec,Polar,NpSolv,ΔG_GBSA
EL2003A-A2U1,1,7.6,-9.355 0.9744,7.8899,-52.16,-4.54,7.30,-6.065,-55.468
EL2003A-A2U1,2,7.6,-9.760 0.9423,7.7118,-58.04,-3.66,6.38,-6.335,-61.665
EL2003A-A2U1,3,7.6,-8.353 0.8996,7.3751,-55.39,-3.55,6.82,-5.724,-57.839
EL2003A-A2U1,4,7.6,-8.303 0.7282,7.2732,-52.10,-0.20,3.74,-6.380,-54.938
EL2003A-A2U1,5,7.6,-9.333 0.4966,7.0253,-56.53,0.29,4.19,-6.545,-58.587
EL2003A,1,7.5,-9.735 0.9759,7.7116,-57.31,-3.19,6.28,-6.180,-60.397
EL2003A,2,7.5,-9.800 0.9703,7.6332,-58.36,-2.57,5.61,-6.507,-61.835
EL2003A,3,7.5,-8.066 0.9404,7.4355,-52.04,-1.26,4.52,-5.637,-54.417
EL2003A,4,7.5,-7.859 0.8123,7.1894,-49.03,-1.31,5.09,-5.201,-50.454
EL2003A,5,7.5,-9.362 0.6381,7.2967,-53.84,-1.94,5.85,-6.257,-56.184
EL2003A-A4U1,1,7.5,-9.315 0.9549,8.0316,-61.44,-4.20,7.88,-6.982,-64.741
EL2003A-A4U1,2,7.5,-9.802 0.9429,7.7598,-58.96,-4.14,7.49,-6.723,-62.331
EL2003A-A4U1,3,7.5,-8.942 0.9353,7.7144,-58.04,-3.55,7.68,-6.615,-60.520
EL2003A-A4U1,4,7.5,-8.677 0.4980,7.1445,-54.02,-1.35,6.00,-6.833,-56.194
EL2003A-A4U1,5,7.5,-9.203 0.4921,7.1839,-55.57,-4.32,9.27,-6.948,-57.567
BX912,1,6.0,-8.563 0.9673,7.6688,-52.30,-2.48,5.58,-5.583,-54.775
BX912,2,6.0,-8.908 0.9054,7.5617,-57.29,-2.94,6.03,-6.123,-60.328
BX912,3,6.0,-7.733 0.8352,7.7852,-49.83,-4.35,7.00,-5.461,-52.636
BX912,4,6.0,-7.642 0.6398,7.1800,-46.55,-0.80,4.19,-5.280,-48.450
BX912,5,6.0,-8.578 0.5918,7.1861,-48.95,-1.87,5.17,-6.258,-51.900
EL5001A,1,6.5,-7.730 0.9245,7.5344,-51.67,-1.53,4.89,-6.120,-54.420
EL5001A,2,6.5,-7.617 0.9039,7.0420,-47.18,-3.02,5.71,-5.567,-50.053
EL5001A,3,6.5,-7.000 0.8963,7.2765,-48.68,-3.14,5.45,-5.886,-52.259
EL5001A,4,6.5,-7.634 0.7356,7.0853,-50.03,-2.83,5.57,-5.682,-52.974
EL5001A,5,6.5,-7.458 0.7332,6.9116,-46.99,-3.33,5.75,-5.145,-49.710
EL5003A,1,6.8,-7.805 0.9197,7.7364,-49.11,-1.81,4.64,-5.920,-52.207
EL5003A,2,6.8,-7.592 0.8556,7.3521,-44.29,-2.24,5.48,-5.121,-46.162
EL5003A,3,6.8,-8.108 0.4980,7.4018,-54.40,-1.37,5.16,-6.576,-57.187
EL5003A,4,6.8,-7.714 0.3582,6.7255,-44.81,0.41,3.54,-6.029,-46.890
EL5003A,5,6.8,-8.120 0.3417,7.2250,-46.22,-0.67,4.46,-6.006,-48.434
