mol_name,rank,pic50,affinity,cnn_score,cnn_aff,vdw,elec,polar,nonpolar,gas,mmgbsa
EL2003A-A2U1,1,7.6,-9.355,0.974,7.89,-52.163,-4.54,7.301,-6.065,-56.703,-55.468
EL2003A-A2U1,2,7.6,-9.76,0.942,7.712,-58.044,-3.665,6.378,-6.335,-61.709,-61.665
EL2003A-A2U1,3,7.6,-8.353,0.9,7.375,-55.391,-3.545,6.822,-5.724,-58.936,-57.839
EL2003A-A2U1,4,7.6,-8.303,0.728,7.273,-52.098,-0.205,3.744,-6.38,-52.303,-54.938
EL2003A-A2U1,5,7.6,-9.333,0.497,7.025,-56.53,0.295,4.194,-6.545,-56.236,-58.587
EL2003A,1,7.5,-9.735,0.976,7.712,-57.307,-3.185,6.276,-6.18,-60.493,-60.397
EL2003A,2,7.5,-9.8,0.97,7.633,-58.363,-2.574,5.609,-6.507,-60.937,-61.835
EL2003A,3,7.5,-8.066,0.94,7.436,-52.042,-1.259,4.521,-5.637,-53.301,-54.417
EL2003A,4,7.5,-7.859,0.812,7.189,-49.034,-1.31,5.091,-5.201,-50.344,-50.454
EL2003A,5,7.5,-9.362,0.638,7.297,-53.843,-1.937,5.853,-6.257,-55.78,-56.184
EL2003A-A4U1,1,7.5,-9.315,0.955,8.032,-61.437,-4.2,7.878,-6.982,-65.637,-64.741
EL2003A-A4U1,2,7.5,-9.802,0.943,7.76,-58.959,-4.143,7.493,-6.723,-63.102,-62.331
EL2003A-A4U1,3,7.5,-8.942,0.935,7.714,-58.038,-3.551,7.684,-6.615,-61.589,-60.52
EL2003A-A4U1,4,7.5,-8.677,0.498,7.144,-54.017,-1.346,6.003,-6.833,-55.364,-56.194
EL2003A-A4U1,5,7.5,-9.203,0.492,7.184,-55.566,-4.324,9.27,-6.948,-59.889,-57.567
BX912,1,6.0,-8.563,0.967,7.669,-52.296,-2.48,5.584,-5.583,-54.776,-54.775
BX912,2,6.0,-8.908,0.905,7.562,-57.289,-2.944,6.028,-6.123,-60.233,-60.328
BX912,3,6.0,-7.733,0.835,7.785,-49.826,-4.348,7.0,-5.461,-54.174,-52.636
BX912,4,6.0,-7.642,0.64,7.18,-46.553,-0.802,4.186,-5.28,-47.356,-48.45
BX912,5,6.0,-8.578,0.592,7.186,-48.951,-1.866,5.174,-6.258,-50.816,-51.9
EL5001A,1,6.5,-7.73,0.924,7.534,-51.665,-1.529,4.894,-6.12,-53.194,-54.42
EL5001A,2,6.5,-7.617,0.904,7.042,-47.176,-3.023,5.712,-5.567,-50.199,-50.053
EL5001A,3,6.5,-7.0,0.896,7.277,-48.684,-3.14,5.451,-5.886,-51.824,-52.259
EL5001A,4,6.5,-7.634,0.736,7.085,-50.03,-2.826,5.565,-5.682,-52.857,-52.974
EL5001A,5,6.5,-7.458,0.733,6.912,-46.991,-3.327,5.752,-5.145,-50.317,-49.71
EL5003A,1,6.8,-7.805,0.92,7.736,-49.113,-1.812,4.638,-5.92,-50.925,-52.207
EL5003A,2,6.8,-7.592,0.856,7.352,-44.285,-2.239,5.484,-5.121,-46.525,-46.162
EL5003A,3,6.8,-8.108,0.498,7.402,-54.403,-1.366,5.158,-6.576,-55.769,-57.187
EL5003A,4,6.8,-7.714,0.358,6.725,-44.811,0.413,3.537,-6.029,-44.398,-46.89
EL5003A,5,6.8,-8.12,0.342,7.225,-46.216,-0.674,4.462,-6.006,-46.89,-48.434
