Reaction,Conditions,Ligand,Base,Cu,Cu_loading_mol%,Solvent,Well
SCREEN2-001,DMCyDA_K2CO3_CuI_5mol%_Dioxane,DMCyDA,K2CO3,CuI,5,Dioxane,A1
SCREEN2-002,DMCyDA_K2CO3_CuI_10mol%_Dioxane,DMCyDA,K2CO3,CuI,10,Dioxane,A2
SCREEN2-003,DMCyDA_K2CO3_Cu(OTf)2_5mol%_Dioxane,DMCyDA,K2CO3,Cu(OTf)2,5,Dioxane,A3
SCREEN2-004,DMCyDA_K2CO3_Cu(OTf)2_10mol%_Dioxane,DMCyDA,K2CO3,Cu(OTf)2,10,Dioxane,A4
SCREEN2-005,DMCyDA_K2CO3_CuBr_5mol%_Dioxane,DMCyDA,K2CO3,CuBr,5,Dioxane,A5
SCREEN2-006,DMCyDA_K2CO3_CuBr_10mol%_Dioxane,DMCyDA,K2CO3,CuBr,10,Dioxane,A6
SCREEN2-007,DMCyDA_K2CO3_CuCl_5mol%_Dioxane,DMCyDA,K2CO3,CuCl,5,Dioxane,A7
SCREEN2-008,DMCyDA_K2CO3_CuCl_10mol%_Dioxane,DMCyDA,K2CO3,CuCl,10,Dioxane,A8
SCREEN2-009,DMCyDA_K2CO3_Cu(OAc)2_5mol%_Dioxane,DMCyDA,K2CO3,Cu(OAc)2,5,Dioxane,A9
SCREEN2-010,DMCyDA_K2CO3_Cu(OAc)2_10mol%_Dioxane,DMCyDA,K2CO3,Cu(OAc)2,10,Dioxane,A10
SCREEN2-011,DMCyDA_K2CO3_Cu2O_5mol%_Dioxane,DMCyDA,K2CO3,Cu2O,5,Dioxane,A11
SCREEN2-012,DMCyDA_K2CO3_Cu2O_10mol%_Dioxane,DMCyDA,K2CO3,Cu2O,10,Dioxane,A12
SCREEN2-013,DMCyDA_K2CO3_CuI_5mol%_DMF,DMCyDA,K2CO3,CuI,5,DMF,B1
SCREEN2-014,DMCyDA_K2CO3_CuI_10mol%_DMF,DMCyDA,K2CO3,CuI,10,DMF,B2
SCREEN2-015,DMCyDA_K2CO3_Cu(OTf)2_5mol%_DMF,DMCyDA,K2CO3,Cu(OTf)2,5,DMF,B3
SCREEN2-016,DMCyDA_K2CO3_Cu(OTf)2_10mol%_DMF,DMCyDA,K2CO3,Cu(OTf)2,10,DMF,B4
SCREEN2-017,DMCyDA_K2CO3_CuBr_5mol%_DMF,DMCyDA,K2CO3,CuBr,5,DMF,B5
SCREEN2-018,DMCyDA_K2CO3_CuBr_10mol%_DMF,DMCyDA,K2CO3,CuBr,10,DMF,B6
SCREEN2-019,DMCyDA_K2CO3_CuCl_5mol%_DMF,DMCyDA,K2CO3,CuCl,5,DMF,B7
SCREEN2-020,DMCyDA_K2CO3_CuCl_10mol%_DMF,DMCyDA,K2CO3,CuCl,10,DMF,B8
SCREEN2-021,DMCyDA_K2CO3_Cu(OAc)2_5mol%_DMF,DMCyDA,K2CO3,Cu(OAc)2,5,DMF,B9
SCREEN2-022,DMCyDA_K2CO3_Cu(OAc)2_10mol%_DMF,DMCyDA,K2CO3,Cu(OAc)2,10,DMF,B10
SCREEN2-023,DMCyDA_K2CO3_Cu2O_5mol%_DMF,DMCyDA,K2CO3,Cu2O,5,DMF,B11
SCREEN2-024,DMCyDA_K2CO3_Cu2O_10mol%_DMF,DMCyDA,K2CO3,Cu2O,10,DMF,B12
SCREEN2-025,DMCyDA_Cs2CO3_CuI_5mol%_Dioxane,DMCyDA,Cs2CO3,CuI,5,Dioxane,C1
SCREEN2-026,DMCyDA_Cs2CO3_CuI_10mol%_Dioxane,DMCyDA,Cs2CO3,CuI,10,Dioxane,C2
SCREEN2-027,DMCyDA_Cs2CO3_Cu(OTf)2_5mol%_Dioxane,DMCyDA,Cs2CO3,Cu(OTf)2,5,Dioxane,C3
SCREEN2-028,DMCyDA_Cs2CO3_Cu(OTf)2_10mol%_Dioxane,DMCyDA,Cs2CO3,Cu(OTf)2,10,Dioxane,C4
SCREEN2-029,DMCyDA_Cs2CO3_CuBr_5mol%_Dioxane,DMCyDA,Cs2CO3,CuBr,5,Dioxane,C5
SCREEN2-030,DMCyDA_Cs2CO3_CuBr_10mol%_Dioxane,DMCyDA,Cs2CO3,CuBr,10,Dioxane,C6
SCREEN2-031,DMCyDA_Cs2CO3_CuCl_5mol%_Dioxane,DMCyDA,Cs2CO3,CuCl,5,Dioxane,C7
SCREEN2-032,DMCyDA_Cs2CO3_CuCl_10mol%_Dioxane,DMCyDA,Cs2CO3,CuCl,10,Dioxane,C8
SCREEN2-033,DMCyDA_Cs2CO3_Cu(OAc)2_5mol%_Dioxane,DMCyDA,Cs2CO3,Cu(OAc)2,5,Dioxane,C9
SCREEN2-034,DMCyDA_Cs2CO3_Cu(OAc)2_10mol%_Dioxane,DMCyDA,Cs2CO3,Cu(OAc)2,10,Dioxane,C10
SCREEN2-035,DMCyDA_Cs2CO3_Cu2O_5mol%_Dioxane,DMCyDA,Cs2CO3,Cu2O,5,Dioxane,C11
SCREEN2-036,DMCyDA_Cs2CO3_Cu2O_10mol%_Dioxane,DMCyDA,Cs2CO3,Cu2O,10,Dioxane,C12
SCREEN2-037,DMCyDA_Cs2CO3_CuI_5mol%_DMF,DMCyDA,Cs2CO3,CuI,5,DMF,D1
SCREEN2-038,DMCyDA_Cs2CO3_CuI_10mol%_DMF,DMCyDA,Cs2CO3,CuI,10,DMF,D2
SCREEN2-039,DMCyDA_Cs2CO3_Cu(OTf)2_5mol%_DMF,DMCyDA,Cs2CO3,Cu(OTf)2,5,DMF,D3
SCREEN2-040,DMCyDA_Cs2CO3_Cu(OTf)2_10mol%_DMF,DMCyDA,Cs2CO3,Cu(OTf)2,10,DMF,D4
SCREEN2-041,DMCyDA_Cs2CO3_CuBr_5mol%_DMF,DMCyDA,Cs2CO3,CuBr,5,DMF,D5
SCREEN2-042,DMCyDA_Cs2CO3_CuBr_10mol%_DMF,DMCyDA,Cs2CO3,CuBr,10,DMF,D6
SCREEN2-043,DMCyDA_Cs2CO3_CuCl_5mol%_DMF,DMCyDA,Cs2CO3,CuCl,5,DMF,D7
SCREEN2-044,DMCyDA_Cs2CO3_CuCl_10mol%_DMF,DMCyDA,Cs2CO3,CuCl,10,DMF,D8
SCREEN2-045,DMCyDA_Cs2CO3_Cu(OAc)2_5mol%_DMF,DMCyDA,Cs2CO3,Cu(OAc)2,5,DMF,D9
SCREEN2-046,DMCyDA_Cs2CO3_Cu(OAc)2_10mol%_DMF,DMCyDA,Cs2CO3,Cu(OAc)2,10,DMF,D10
SCREEN2-047,DMCyDA_Cs2CO3_Cu2O_5mol%_DMF,DMCyDA,Cs2CO3,Cu2O,5,DMF,D11
