Reaction,Conditions,well
929EDL2056-001,Oxine_K3PO4_CuI_Dioxane,A1
929EDL2056-002,Oxine_K3PO4_Cu(OTf)2_Dioxane,A2
929EDL2056-003,Oxine_K2CO3_CuI_Dioxane,A3
929EDL2056-004,Oxine_K2CO3_Cu(OTf)2_Dioxane,A4
929EDL2056-005,Oxine_K3PO4_CuI_DMF,A5
929EDL2056-006,Oxine_K3PO4_Cu(OTf)2_DMF,A6
929EDL2056-007,Oxine_K2CO3_CuI_DMF,A7
929EDL2056-008,Oxine_K2CO3_Cu(OTf)2_DMF,A8
929EDL2056-009,Chxn-Py-Al_K3PO4_CuI_Dioxane,B1
929EDL2056-010,Chxn-Py-Al_K3PO4_Cu(OTf)2_Dioxane,B2
929EDL2056-011,Chxn-Py-Al_K2CO3_CuI_Dioxane,B3
929EDL2056-012,Chxn-Py-Al_K2CO3_Cu(OTf)2_Dioxane,B4
929EDL2056-013,Chxn-Py-Al_K3PO4_CuI_DMF,B5
929EDL2056-014,Chxn-Py-Al_K3PO4_Cu(OTf)2_DMF,B6
929EDL2056-015,Chxn-Py-Al_K2CO3_CuI_DMF,B7
929EDL2056-016,Chxn-Py-Al_K2CO3_Cu(OTf)2_DMF,B8
929EDL2056-017,THMD_K3PO4_CuI_Dioxane,C1
929EDL2056-018,THMD_K3PO4_Cu(OTf)2_Dioxane,C2
929EDL2056-019,THMD_K2CO3_CuI_Dioxane,C3
929EDL2056-020,THMD_K2CO3_Cu(OTf)2_Dioxane,C4
929EDL2056-021,THMD_K3PO4_CuI_DMF,C5
929EDL2056-022,THMD_K3PO4_Cu(OTf)2_DMF,C6
929EDL2056-023,THMD_K2CO3_CuI_DMF,C7
929EDL2056-024,THMD_K2CO3_Cu(OTf)2_DMF,C8
929EDL2056-025,BTMO_K3PO4_CuI_Dioxane,D1
929EDL2056-026,BTMO_K3PO4_Cu(OTf)2_Dioxane,D2
929EDL2056-027,BTMO_K2CO3_CuI_Dioxane,D3
929EDL2056-028,BTMO_K2CO3_Cu(OTf)2_Dioxane,D4
929EDL2056-029,BTMO_K3PO4_CuI_DMF,D5
929EDL2056-030,BTMO_K3PO4_Cu(OTf)2_DMF,D6
929EDL2056-031,BTMO_K2CO3_CuI_DMF,D7
929EDL2056-032,BTMO_K2CO3_Cu(OTf)2_DMF,D8
929EDL2056-033,DPEO_K3PO4_CuI_Dioxane,E1
929EDL2056-034,DPEO_K3PO4_Cu(OTf)2_Dioxane,E2
929EDL2056-035,DPEO_K2CO3_CuI_Dioxane,E3
929EDL2056-036,DPEO_K2CO3_Cu(OTf)2_Dioxane,E4
929EDL2056-037,DPEO_K3PO4_CuI_DMF,E5
929EDL2056-038,DPEO_K3PO4_Cu(OTf)2_DMF,E6
929EDL2056-039,DPEO_K2CO3_CuI_DMF,E7
929EDL2056-040,DPEO_K2CO3_Cu(OTf)2_DMF,E8
929EDL2056-041,DMPO_K3PO4_CuI_Dioxane,F1
929EDL2056-042,DMPO_K3PO4_Cu(OTf)2_Dioxane,F2
929EDL2056-043,DMPO_K2CO3_CuI_Dioxane,F3
929EDL2056-044,DMPO_K2CO3_Cu(OTf)2_Dioxane,F4
929EDL2056-045,DMPO_K3PO4_CuI_DMF,F5
929EDL2056-046,DMPO_K3PO4_Cu(OTf)2_DMF,F6
929EDL2056-047,DMPO_K2CO3_CuI_DMF,F7
929EDL2056-048,DMPO_K2CO3_Cu(OTf)2_DMF,F8
929EDL2056-049,"4,4'-(tBu)bpy_K3PO4_CuI_Dioxane",G1
929EDL2056-050,"4,4'-(tBu)bpy_K3PO4_Cu(OTf)2_Dioxane",G2
929EDL2056-051,"4,4'-(tBu)bpy_K2CO3_CuI_Dioxane",G3
929EDL2056-052,"4,4'-(tBu)bpy_K2CO3_Cu(OTf)2_Dioxane",G4
929EDL2056-053,"4,4'-(tBu)bpy_K3PO4_CuI_DMF",G5
929EDL2056-054,"4,4'-(tBu)bpy_K3PO4_Cu(OTf)2_DMF",G6
929EDL2056-055,"4,4'-(tBu)bpy_K2CO3_CuI_DMF",G7
929EDL2056-056,"4,4'-(tBu)bpy_K2CO3_Cu(OTf)2_DMF",G8
929EDL2056-057,TMEDA_K3PO4_CuI_Dioxane,H1
929EDL2056-058,TMEDA_K3PO4_Cu(OTf)2_Dioxane,H2
