ID,MW SM,Time SM,Area Abs SM,IS MW,Time IS,Area Abs IS,DP MW,Time DP,Area Abs DP
929EDL2056-001,194.97,,,273.38,5.38,34192,379.42,,0
929EDL2056-002,194.97,,,273.38,5.37,31129,379.42,,0
929EDL2056-003,194.97,,,273.38,5.37,32471,379.42,,0
929EDL2056-004,194.97,,,273.38,5.37,24395,379.42,,0
929EDL2056-005,194.97,,,273.38,5.36,28460,379.42,4.28,7776
929EDL2056-006,194.97,,,273.38,5.36,23794,379.42,,0
929EDL2056-007,194.97,,,273.38,5.36,19511,379.42,4.28,5750
929EDL2056-008,194.97,,,273.38,5.36,20778,379.42,,0
929EDL2056-009,194.97,,,273.38,5.36,46192,379.42,4.28,4853
929EDL2056-010,194.97,,,273.38,5.36,30685,379.42,,0
929EDL2056-011,194.97,,,273.38,5.36,23911,379.42,,0
929EDL2056-012,194.97,,,273.38,5.36,21870,379.42,,0
929EDL2056-013,194.97,,,273.38,5.36,25139,379.42,4.28,3712
929EDL2056-014,194.97,,,273.38,5.36,19918,379.42,,0
929EDL2056-015,194.97,,,273.38,5.36,19144,379.42,4.28,1199
929EDL2056-016,194.97,4.74,883,273.38,5.36,25762,379.42,4.28,0
929EDL2056-017,194.97,,,273.38,5.36,27838,379.42,,0
929EDL2056-018,194.97,4.74,1561,273.38,5.36,24440,379.42,,0
929EDL2056-019,194.97,,,273.38,5.36,23372,379.42,,0
929EDL2056-020,194.97,,,273.38,5.36,22543,379.42,,0
929EDL2056-021,194.97,,,273.38,5.36,20251,379.42,4.28,466
929EDL2056-022,194.97,,,273.38,5.36,21509,379.42,,0
929EDL2056-023,194.97,,,273.38,5.36,17613,379.42,4.28,405
929EDL2056-024,194.97,,,273.38,5.36,23904,379.42,,0
929EDL2056-025,194.97,,,273.38,5.36,28814,379.42,4.28,5840
929EDL2056-026,194.97,,,273.38,5.36,25945,379.42,,0
929EDL2056-027,194.97,,,273.38,5.36,27749,379.42,4.28,350
929EDL2056-028,194.97,,,273.38,5.36,23295,379.42,,0
929EDL2056-029,194.97,,,273.38,5.36,24021,379.42,,0
929EDL2056-030,194.97,,,273.38,5.36,22746,379.42,,0
929EDL2056-031,194.97,,,273.38,5.36,25417,379.42,4.28,697
929EDL2056-032,194.97,,,273.38,5.36,22207,379.42,,0
929EDL2056-033,194.97,,,273.38,5.36,29120,379.42,,0
929EDL2056-034,194.97,,,273.38,5.36,23402,379.42,,0
