compound,replica,rmsd_mean_nm,rmsd_std_nm,hbond_mean,hbond_std,mindist_mean_nm,mindist_std_nm,bsa_mean_nm2
EDS00495858,1,2.64317,2.70484,NA,NA,0.16793,0.00561,15.34862
EDS00495858,2,1.37524,2.22694,NA,NA,0.16793,0.00626,14.72651
EDS00495858,3,1.23586,1.99402,NA,NA,0.16766,0.00615,16.74997
EDS00480994,1,1.07282,2.02338,NA,NA,0.16708,0.00555,15.54088
EDS00480994,2,0.89522,1.86032,NA,NA,0.16704,0.00585,16.65142
EDS00480994,3,0.14823,0.24451,NA,NA,0.16773,0.00632,15.46230
EDS00444974,1,2.25385,2.32194,NA,NA,0.16823,0.00650,13.82830
EDS00444974,2,4.99459,1.42353,NA,NA,0.16799,0.00656,14.68400
EDS00444974,3,0.54345,1.16355,NA,NA,0.16941,0.00736,14.33369
EDS00481054,1,5.52406,1.59983,NA,NA,0.16872,0.00669,14.48849
EDS00481054,2,4.74020,2.41738,NA,NA,0.16990,0.00542,15.57081
EDS00481054,3,2.37615,2.79538,NA,NA,0.17059,0.00512,14.45048
EDS00441134,1,3.59312,3.42985,NA,NA,0.16554,0.00618,17.32208
EDS00441134,2,0.36212,1.05946,NA,NA,0.16743,0.00657,15.69135
EDS00441134,3,0.22375,0.29568,NA,NA,0.16931,0.00597,15.63212
EDS00445742,1,4.69542,1.68962,NA,NA,0.16717,0.00624,14.55601
EDS00445742,2,1.41630,2.24129,NA,NA,0.16732,0.00667,14.45069
EDS00445742,3,4.76893,1.88175,NA,NA,0.16598,0.00595,15.85062
