compound,replica,rmsd_mean_nm,rmsd_std_nm,hbond_mean,hbond_std,mindist_mean_nm,mindist_std_nm,bsa_mean_nm2
EDS00495858,1,NA,NA,NA,NA,NA,NA,NA,NA
EDS00495858,2,NA,NA,NA,NA,NA,NA,NA,NA
EDS00495858,3,NA,NA,NA,NA,NA,NA,NA,NA
EDS00480994,1,NA,NA,NA,NA,NA,NA,NA,NA
EDS00480994,2,NA,NA,NA,NA,NA,NA,NA,NA
EDS00480994,3,NA,NA,NA,NA,NA,NA,NA,NA
EDS00444974,1,NA,NA,NA,NA,NA,NA,NA,NA
EDS00444974,2,NA,NA,NA,NA,NA,NA,NA,NA
EDS00444974,3,NA,NA,NA,NA,NA,NA,NA,NA
EDS00481054,1,NA,NA,NA,NA,NA,NA,NA,NA
EDS00481054,2,NA,NA,NA,NA,NA,NA,NA,NA
EDS00481054,3,NA,NA,NA,NA,NA,NA,NA,NA
EDS00441134,1,NA,NA,NA,NA,NA,NA,NA,NA
EDS00441134,2,NA,NA,NA,NA,NA,NA,NA,NA
EDS00441134,3,NA,NA,NA,NA,NA,NA,NA,NA
EDS00445742,1,NA,NA,NA,NA,NA,NA,NA,NA
EDS00445742,2,NA,NA,NA,NA,NA,NA,NA,NA
EDS00445742,3,NA,NA,NA,NA,NA,NA,NA,NA
