name cas role,smiles,mw
0,COc1cccc(OC)c1-c1ccccc1[PH](C1CCCCC1)(C1CCCCC1)[Pd]1(OS(C)(=O)=O)Nc2ccccc2-c2ccccc21,780.3
1,Cc1ccnc(-c2cc(C)ccn2)c1,184.2
2,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.Nc1ccccc1-c1ccccc1[Pd]Cl,776.7
3,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1.CS(=O)(=O)O[Pd]c1ccccc1-c1ccccc1N,794.4
4,Cc1ccc(-c2ccc(C)cn2)nc1,184.2
5,N#Cc1c(N(c2ccccc2)c2ccccc2)c(F)c(N(c2ccccc2)c2ccccc2)c(C#N)c1N(c1ccccc1)c1ccccc1,647.8
6,N#Cc1c(N(c2ccccc2)c2ccccc2)c(F)c(N(c2ccccc2)c2ccccc2)c(F)c1N(c1ccccc1)c1ccccc1,640.7
7,CS(=O)(=O)O[Pd-2]1([P+](c2ccccc2)(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)[NH2+]c2ccccc2-c2ccccc21,992.4
8,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.CS(=O)(=O)O[Pd]c1ccccc1-c1ccccc1N,836.4
9,CS(=O)(=O)[O-]->[Pd+2]1(<-Nc2ccccc2C2=C[CH]C=C[C-]21)[P](C1CCCCC1)(C1CCCCC1)C1CCCCC1,650.2
10,C1=CCCC=CCC1.C1=CCCC=CCC1.[Ni],275.1
11,FC(F)(F)c1ccnc(-c2cc(C(F)(F)F)ccn2)c1,292.2
12,CC(C)(C)c1ccnc(-c2ccc(F)cc2[Ir](c2cc(F)ccc2-c2cc(C(C)(C)C)ccn2)c2cc(F)ccc2-c2cc(C(C)(C)C)ccn2)c1,877.1
13,[Cl-].[Cl-].[Ru+2].c1cnc(-c2ncccn2)nc1.c1cnc(-c2ncccn2)nc1.c1cnc(-c2ncccn2)nc1,646.5
14,CS(=O)(=O)O[Pd]c1ccccc1-c1ccccc1N.[C]1[C][C][C](P(c2ccccc2)c2ccccc2)[C]1.[C]1[C][C][C](P(c2ccccc2)c2ccccc2)[C]1.[Fe],916.1
15,O.O.O.O.O.O.[Cl-].[Cl-].[Ru+2].c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,748.6
16,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1.CS(=O)(=O)O[Pd]c1ccccc1-c1ccccc1N,763.3
17,CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1.CS(=O)(=O)O[Pd]c1ccccc1-c1ccccc1N,635.1
18,COc1ccc(OC(C)(C)C)c([P](C2CCCCC2)(C2CCCCC2)[Pd+2]2(<-Nc3ccccc3C3=C[CH]C=C[C-]32)<-[O-]S(C)(=O)=O)c1-c1c(C(C)C)cccc1C(C)C,906.5
19,CS(=O)(=O)O[Pd]c1ccccc1-c1ccccc1N.c1ccc(P(C23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)C23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)c(N2CCOCC2)c1,833.4
20,COc1cc(C(C)(C)C)cc(C(C)(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,492.7
21,CO1CCO(C)->[Ni]<-1(Br)Br,308.6
22,COc1ccnc2c1ccc1c(OC)ccnc12,240.3
23,C[Si](C)(C)[O-].[Na+],112.2
24,CS(C)=O,78.1
25,Cc1ccccc1,92.1
26,COc1ccnc(-c2cc(OC)ccn2)c1,216.2
27,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,268.4
28,C1CN2CCC1CC2,111.2
29,CN(C)C(=NC(C)(C)C)N(C)C,171.3
30,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C.CS(=O)(=O)[O-].Nc1ccccc1-c1ccccc1[Pd+],906.5
31,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.F[P-](F)(F)(F)(F)F.Fc1cc(F)c(-c2ccc(C(F)(F)F)cn2)c([Ir]c2cc(F)cc(F)c2-c2ccc(C(F)(F)F)cn2)c1,1121.9
32,Cc1cc(C)c(-c2c3ccccc3[n+](C)c3ccccc23)c(C)c1.F[B-](F)(F)F,399.2
33,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.[Ru].c1cnc(-c2cnccn2)cn1.c1cnc(-c2cnccn2)cn1.c1cnc(-c2cnccn2)cn1,865.5
34,COCCOC.[Cl-].[Cl-].[Ni+2],219.7
35,CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.F[P-](F)(F)(F)(F)F.c1ccc(-c2ccccc2[Ir]c2ccccc2-c2ccccn2)nc1,914.0
36,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.CS(=O)(=O)[O-].Nc1ccccc1-c1ccccc1[Pd+],846.5
37,C1CCC2=NCCCN2CC1,152.2
38,N#Cc1c(-n2c3ccccc3c3ccccc32)c(C#N)c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c1-n1c2ccccc2c2ccccc21,788.9
39,CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.CS(=O)(=O)O[Pd]c1ccccc1-c1ccccc1N,948.4
40,CC(=O)[O-].CC(=O)[O-].[Pd+2],224.5
41,CN(C)C(=N)N(C)C,115.2
42,C[Si](C)(C)[N-][Si](C)(C)C.[Li+],167.3
43,CC(C)(C)[O-].[Na+],96.1
44,Cc1cccc(C)n1,107.2
45,c1ccc(P(c2ccccc2)c2ccccc2Oc2ccccc2P(c2ccccc2)c2ccccc2)cc1,538.6
46,c1cnc2c(c1)ccc1cccnc12,180.2
47,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd].[Pd],915.7
48,CCN(C(C)C)C(C)C,129.2
49,[Cu]I,190.4
50,O=C([O-])[O-].[K+].[K+],138.2
51,[Cs+].[F-],151.9
52,O=C([O-])[O-].[Cs+].[Cs+],325.8
53,O=P([O-])([O-])[O-].[K+].[K+].[K+],212.3
54,c1ccncc1,79.1
55,CC(=O)/C=C(/C)[O-].CC(=O)/C=C(/C)[O-].[Ni+2],256.9
56,CCCCP(C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.CS(=O)(=O)O[Pd]c1ccccc1-c1ccccc1N,728.3
57,Cc1cccc(-c2cccc(C)n2)n1,184.2
58,[Ir].c1ccc(-c2ccccn2)cc1.c1ccc(-c2ccccn2)cc1.c1ccc(-c2ccccn2)cc1,657.8
59,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C.CS(=O)(=O)O[Pd]c1ccccc1-c1ccccc1N,854.4
60,Cc1cc(C)c(C2=c3ccc(C(C)(C)C)cc3=[N+](c3ccccc3)C3C=C(C(C)(C)C)C=CC23)c(C)c1.F[B-](F)(F)F,575.5
61,CCC(CC)c1cccc(C(CC)CC)c1N1C(Cl)=C(Cl)N(c2c(C(CC)CC)cccc2C(CC)CC)C1[Pd](Cl)Cl.Clc1cccnc1,861.6
62,C(=N/[C@H]1CCCC[C@@H]1/N=C/c1ccccn1)\c1ccccn1,292.4
63,CC(C)Oc1cccc(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1[P](C1CCCCC1)(C1CCCCC1)[Pd+2]1(<-Nc2ccccc2C2=C[CH]C=C[C-]21)<-[O-]S(C)(=O)=O,904.5
64,CO,32.0
65,CN(C)C=O,73.1
66,CC(=O)N(C)C,87.1
67,CN1CCCC1=O,99.1
68,ClCCCl,99.0
69,CCC(C)(C)O,88.1
70,C1COCCO1,88.1
71,C1CCC2=NCCCN2CC1,152.2
