Reaction,Conditions,well
929EDL2056-001,Oxine_K3PO4_CuI_Dioxane,A1
929EDL2056-002,Oxine_K3PO4_Cu(OTf)2_Dioxane,B1
929EDL2056-003,Oxine_K2CO3_CuI_Dioxane,C1
929EDL2056-004,Oxine_K2CO3_Cu(OTf)2_Dioxane,D1
929EDL2056-005,Oxine_K3PO4_CuI_DMF,E1
929EDL2056-006,Oxine_K3PO4_Cu(OTf)2_DMF,F1
929EDL2056-007,Oxine_K2CO3_CuI_DMF,G1
929EDL2056-008,Oxine_K2CO3_Cu(OTf)2_DMF,H1
929EDL2056-009,Chxn-Py-Al_K3PO4_CuI_Dioxane,A2
929EDL2056-010,Chxn-Py-Al_K3PO4_Cu(OTf)2_Dioxane,B2
929EDL2056-011,Chxn-Py-Al_K2CO3_CuI_Dioxane,C2
929EDL2056-012,Chxn-Py-Al_K2CO3_Cu(OTf)2_Dioxane,D2
929EDL2056-013,Chxn-Py-Al_K3PO4_CuI_DMF,E2
929EDL2056-014,Chxn-Py-Al_K3PO4_Cu(OTf)2_DMF,F2
929EDL2056-015,Chxn-Py-Al_K2CO3_CuI_DMF,G2
929EDL2056-016,Chxn-Py-Al_K2CO3_Cu(OTf)2_DMF,H2
929EDL2056-017,THMD_K3PO4_CuI_Dioxane,A3
929EDL2056-018,THMD_K3PO4_Cu(OTf)2_Dioxane,B3
929EDL2056-019,THMD_K2CO3_CuI_Dioxane,C3
929EDL2056-020,THMD_K2CO3_Cu(OTf)2_Dioxane,D3
929EDL2056-021,THMD_K3PO4_CuI_DMF,E3
929EDL2056-022,THMD_K3PO4_Cu(OTf)2_DMF,F3
929EDL2056-023,THMD_K2CO3_CuI_DMF,G3
929EDL2056-024,THMD_K2CO3_Cu(OTf)2_DMF,H3
929EDL2056-025,BTMO_K3PO4_CuI_Dioxane,A4
929EDL2056-026,BTMO_K3PO4_Cu(OTf)2_Dioxane,B4
929EDL2056-027,BTMO_K2CO3_CuI_Dioxane,C4
929EDL2056-028,BTMO_K2CO3_Cu(OTf)2_Dioxane,D4
929EDL2056-029,BTMO_K3PO4_CuI_DMF,E4
929EDL2056-030,BTMO_K3PO4_Cu(OTf)2_DMF,F4
929EDL2056-031,BTMO_K2CO3_CuI_DMF,G4
929EDL2056-032,BTMO_K2CO3_Cu(OTf)2_DMF,H4
929EDL2056-033,DPEO_K3PO4_CuI_Dioxane,A5
929EDL2056-034,DPEO_K3PO4_Cu(OTf)2_Dioxane,B5
929EDL2056-035,DPEO_K2CO3_CuI_Dioxane,C5
929EDL2056-036,DPEO_K2CO3_Cu(OTf)2_Dioxane,D5
929EDL2056-037,DPEO_K3PO4_CuI_DMF,E5
929EDL2056-038,DPEO_K3PO4_Cu(OTf)2_DMF,F5
